iter	Passed	Remaining
408	4963	7171
409	4974	7157
410	4985	7144
411	4998	7133
412	5010	7120
413	5022	7109
414	5034	7096
415	5045	7083
416	5056	7069
417	5068	7056
418	5079	7043
419	5090	7030
420	5101	7016
421	5113	7003
422	5122	6987
423	5134	6974
424	5145	6962
425	5157	6949
426	5168	6935
427	5179	6922
428	5190	6908
429	5201	6895
430	5212	6881
431	5223	6867
432	5234	6854
433	5246	6841
434	5260	6832
435	5271	6819
436	5284	6808
437	5297	6796
438	5307	6783
439	5320	6771
440	5332	6759
441	5346	6749
442	5359	6739
443	5372	6728
444	5385	6716
445	5398	6705
446	5410	6694
447	5422	6681
448	5434	6668
449	5445	6655
450	5456	6642
451	5467	6629
452	5478	6615
453	5489	6602
454	5501	6589
455	5513	6577
456	5524	6563
457	5535	6550
458	5546	6537
459	5557	6523
460	5568	6510
461	5579	6497
462	5590	6484
463	5601	6471
464	5612	6457
465	5624	6444
466	5634	6430
467	5647	6420
468	5660	6408
469	5674	6398
470	5686	6386
471	5698	6374
472	5710	6362
473	5722	6349
474	5734	6337
475	5746	6326
476	5758	6313
477	5769	6301
478	5781	6288
479	5793	6276
480	5805	6263
481	5817	6251
482	5829	6239
483	5841	6227
484	5853	6215
485	5865	6203
486	5877	6191
487	5889	6179
488	5967	6235
489	6003	6248
490	6015	6236
491	6026	6222
492	6037	6209
493	6048	6195
494	6059	6182
495	6071	6169
496	6082	6156
497	6094	6143
498	6106	6130
499	6117	6117
500	6129	6104
501	6140	6091
502	6151	6078
503	6162	6064
504	6173	6051
505	6184	6037
506	6196	6025
507	6207	6011
508	6219	5999
509	6231	5986
510	6243	5974
511	6254	5961
512	6266	5948
513	6277	5935
514	6289	5922
515	6301	5910
516	6312	5897
517	6323	5884
518	6335	5871
519	6346	5858
520	6357	5845
521	6368	5832
522	6380	5819
523	6391	5806
524	6402	5793
525	6414	5780
526	6425	5766
527	6437	5754
528	6448	5741
529	6458	5726
530	6468	5713
531	6480	5700
532	6490	5686
533	6503	5675
534	6515	5662
535	6526	5649
536	6537	5636
537	6548	5623
538	6559	5610
539	6570	5597
540	6582	5584
541	6593	5571
542	6604	5558
543	6615	5545
544	6625	5531
545	6636	5518
546	6647	5505
547	6659	5492
548	6670	5480
549	6682	5467
550	6693	5454
551	6703	5440
552	6714	5427
553	6725	5414
554	6737	5401
555	6748	5388
556	6759	5375
557	6770	5362
558	6782	5350
559	6792	5337
560	6804	5324
561	6816	5312
562	6828	5299
563	6838	5286
564	6850	5274
565	6862	5261
566	6873	5248
567	6884	5236
568	6896	5224
569	6908	5211
570	6919	5198
571	6929	5185
572	6940	5171
573	6950	5158
574	6960	5144
575	6971	5131
576	6982	5118
577	6992	5105
578	7003	5092
579	7014	5079
580	7024	5065
581	7035	5053
582	7046	5040
583	7058	5027
584	7069	5014
585	7081	5002
586	7093	4991
587	7105	4978
588	7116	4965
589	7128	4953
590	7139	4940
591	7150	4928
592	7161	4915
593	7172	4902
594	7183	4889
595	7195	4877
596	7206	4864
597	7218	4852
598	7230	4840
599	7242	4828
600	7254	4815
601	7266	4803
602	7276	4790
603	7288	4778
604	7299	4766
605	7311	4753
606	7322	4740
607	7335	4729
608	7346	4716
609	7356	4703
610	7367	4690
611	7378	4677
612	7389	4664
613	7399	4651
614	7410	4638
615	7421	4626
616	7432	4613
617	7443	4600
618	7455	4588
619	7466	4576
620	7477	4563
621	7487	4550
622	7498	4537
623	7509	4524
624	7520	4512
625	7532	4499
626	7542	4487
627	7554	4474
628	7565	4462
629	7575	4448
630	7585	4436
631	7596	4423
632	7607	4410
633	7618	4398
634	7629	4385
635	7640	4372
636	7651	4360
637	7662	4347
638	7674	4335
639	7685	4323
640	7697	4311
641	7708	4298
642	7719	4286
643	7731	4274
644	7742	4261
645	7754	4249
646	7765	4236
647	7776	4224
648	7788	4212
649	7799	4199
650	7810	4187
651	7822	4175
652	7833	4162
653	7844	4150
654	7856	4137
655	7866	4125
656	7877	4112
657	7955	4135
658	7981	4129
659	7993	4117
660	8004	4104
661	8015	4092
662	8027	4080
663	8038	4067
664	8049	4054
665	8060	4042
666	8071	4029
667	8082	4017
668	8094	4004
669	8106	3992
670	8117	3980
671	8128	3967
672	8140	3955
673	8151	3942
674	8161	3929
675	8172	3917
676	8184	3904
677	8195	3892
678	8207	3879
679	8218	3867
680	8231	3855
681	8242	3843
682	8253	3830
683	8265	3818
684	8276	3806
685	8288	3793
686	8300	3781
687	8311	3769
688	8322	3756
689	8333	3744
690	8345	3732
691	8357	3719
692	8367	3706
693	8378	3694
694	8389	3681
695	8400	3669
696	8412	3657
697	8423	3644
698	8435	3632
699	8446	3619
700	8458	3607
701	8469	3595
702	8480	3582
703	8491	3570
704	8502	3557
705	8514	3545
706	8526	3533
707	8537	3521
708	8548	3508
709	8560	3496
710	8572	3484
711	8583	3471
712	8595	3459
713	8606	3447
714	8617	3435
715	8629	3422
716	8640	3410
717	8651	3398
718	8662	3385
719	8673	3373
720	8685	3360
721	8697	3348
722	8708	3336
723	8720	3324
724	8731	3312
725	8742	3299
726	8752	3286
727	8762	3273
728	8773	3261
729	8783	3248
730	8793	3235
731	8806	3224
732	8818	3212
733	8829	3199
734	8841	3187
735	8853	3175
736	8866	3163
737	8878	3151
738	8890	3140
739	8902	3127
740	8914	3115
741	8926	3103
742	8938	3091
743	8950	3079
744	8963	3067
745	8975	3056
746	8988	3044
747	9001	3032
748	9014	3020
749	9027	3009
750	9039	2997
751	9052	2985
752	9066	2973
753	9077	2961
754	9088	2949
755	9100	2937
756	9111	2924
757	9123	2912
758	9135	2900
759	9147	2888
760	9158	2876
761	9171	2864
762	9185	2853
763	9198	2841
764	9213	2830
765	9228	2819
766	9245	2808
767	9258	2796
768	9271	2785
769	9284	2773
770	9296	2761
771	9307	2748
772	9318	2736
773	9330	2724
774	9340	2711
775	9351	2699
776	9363	2687
777	9375	2675
778	9385	2662
779	9396	2650
780	9407	2637
781	9417	2625
782	9428	2612
783	9441	2601
784	9454	2589
785	9467	2577
786	9479	2565
787	9491	2553
788	9502	2541
789	9513	2528
790	9524	2516
791	9535	2504
792	9546	2492
793	9558	2479
794	9569	2467
795	9579	2455
796	9591	2442
797	9603	2430
798	9614	2418
799	9624	2406
800	9636	2393
801	9647	2381
802	9659	2369
803	9670	2357
804	9682	2345
805	9694	2333
806	9706	2321
807	9717	2309
808	9729	2296
809	9740	2284
810	9752	2272
811	9763	2260
812	9775	2248
813	9787	2236
814	9798	2224
815	9809	2211
816	9821	2199
817	9832	2187
818	9843	2175
819	9854	2163
820	9866	2151
821	9877	2138
822	9888	2126
823	9900	2114
824	9911	2102
825	9966	2099
826	10001	2092
827	10023	2082
828	10044	2071
829	10055	2059
830	10067	2047
831	10078	2035
832	10090	2023
833	10103	2011
834	10114	1998
835	10125	1986
836	10136	1974
837	10149	1962
838	10160	1949
839	10171	1937
840	10183	1925
841	10197	1913
842	10209	1901
843	10220	1889
844	10231	1876
845	10243	1864
846	10256	1852
847	10267	1840
848	10278	1828
849	10290	1816
850	10302	1803
851	10313	1791
852	10324	1779
853	10337	1767
854	10350	1755
855	10361	1743
856	10373	1730
857	10383	1718
858	10396	1706
859	10408	1694
860	10418	1682
861	10430	1669
862	10442	1657
863	10455	1645
864	10465	1633
865	10476	1621
866	10488	1608
867	10499	1596
868	10509	1584
869	10521	1572
870	10532	1559
871	10545	1547
872	10556	1535
873	10566	1523
874	10577	1511
875	10589	1498
876	10601	1486
877	10612	1474
878	10624	1462
879	10637	1450
880	10650	1438
881	10661	1426
882	10674	1414
883	10691	1402
884	10705	1391
885	10717	1379
886	10733	1367
887	10747	1355
888	10759	1343
889	10771	1331
890	10784	1319
891	10798	1307
892	10811	1295
893	10824	1283
894	10838	1271
895	10850	1259
896	10862	1247
897	10874	1235
898	10886	1223
899	10897	1210
900	10908	1198
901	10919	1186
902	10931	1174
903	10943	1162
904	10954	1149
905	10966	1137
906	10978	1125
907	10990	1113
908	11002	1101
909	11014	1089
910	11025	1077
911	11038	1065
912	11048	1052
913	11060	1040
914	11072	1028
915	11084	1016
916	11096	1004
917	11108	992
918	11119	980
919	11133	968
920	11144	955
921	11154	943
922	11168	931
923	11182	919
924	11194	907
925	11206	895
926	11218	883
927	11231	871
928	11243	859
929	11254	847
930	11266	834
931	11279	822
932	11291	810
933	11302	798
934	11313	786
935	11325	774
936	11337	762
937	11349	750
938	11360	738
939	11372	725
940	11384	713
941	11395	701
942	11407	689
943	11419	677
944	11431	665
945	11442	653
946	11454	641
947	11465	628
948	11477	616
949	11489	604
950	11500	592
951	11513	580
952	11525	568
953	11568	557
954	11619	547
955	11644	535
956	11656	523
957	11668	511
958	11679	499
959	11691	487
960	11702	474
961	11714	462
962	11727	450
963	11738	438
964	11750	426
965	11761	413
966	11774	401
967	11786	389
968	11797	377
969	11808	365
970	11821	353
971	11834	340
972	11846	328
973	11858	316
974	11870	304
975	11882	292
976	11894	280
977	11905	267
978	11917	255
979	11929	243
980	11941	231
981	11953	219
982	11972	207
983	11986	194
984	11997	182
985	12007	170
986	12029	158
987	12040	146
988	12051	134
989	12068	121
990	12081	109
991	12093	97
992	12105	85
993	12125	73
994	12143	61
995	12160	48
996	12173	36
997	12186	24
998	12198	12
999	12211	0
