iter	Logloss
0	0.6003121242
1	0.5403707572
2	0.4943681178
3	0.4543251905
4	0.4264924817
5	0.4057563939
6	0.3894596678
7	0.3745433128
8	0.3614630288
9	0.3546473703
10	0.34523497
11	0.3387164595
12	0.3326445205
13	0.3254728288
14	0.3217131265
15	0.3180783883
16	0.313707149
17	0.3100198121
18	0.3073839293
19	0.3047844045
20	0.3010293075
21	0.2980685673
22	0.294875169
23	0.2930262586
24	0.2913929672
25	0.2892053378
26	0.2877729535
27	0.2854369332
28	0.2843895042
29	0.2824786333
30	0.2811721396
31	0.2803233501
32	0.2787229063
33	0.2772356689
34	0.2761819829
35	0.2749858961
36	0.274188433
37	0.2730321989
38	0.2723464095
39	0.2711751843
40	0.2701935267
41	0.2689035336
42	0.268029785
43	0.2675037235
44	0.2665035449
45	0.2661504297
46	0.2653623569
47	0.264528955
48	0.2639043568
49	0.2632239816
50	0.2625990205
51	0.2621999932
52	0.2611542537
53	0.2605825595
54	0.2603384507
55	0.2595346734
56	0.2587077264
57	0.2583554532
58	0.2577259186
59	0.2571496009
60	0.256637013
61	0.2561607724
62	0.2555601298
63	0.2552080536
64	0.254899698
65	0.2544223869
66	0.2537273357
67	0.2535261558
68	0.2529127677
69	0.2525953037
70	0.2521595487
71	0.2516504055
72	0.2512781735
73	0.2507284521
74	0.2504881013
75	0.2500517125
76	0.2495483087
77	0.2492385285
78	0.2489517451
79	0.2487961967
80	0.2485008881
81	0.2481741818
82	0.2480308278
83	0.247879685
84	0.2475186282
85	0.2472751987
86	0.2469282782
87	0.246705787
88	0.2463628853
89	0.2460924011
90	0.2458896553
91	0.2456503669
92	0.2454152284
93	0.245283437
94	0.2450598144
95	0.2447607377
96	0.2445560457
97	0.2444410895
98	0.2440759186
99	0.2439499547
100	0.243729105
101	0.2436162988
102	0.2433593862
103	0.2431962895
104	0.2428126454
105	0.2426280019
106	0.242474893
107	0.2420700037
108	0.2419018489
109	0.2415928229
110	0.241452905
111	0.2410435647
112	0.2409093194
113	0.2406805447
114	0.2404858886
115	0.2403949324
116	0.2402941912
117	0.2401149058
118	0.2399319803
119	0.2398232481
120	0.2395246789
121	0.239293143
122	0.2390832966
123	0.2388872284
124	0.2387626214
125	0.238600571
126	0.2384901131
127	0.2384091767
128	0.2382515361
129	0.2380894123
130	0.2379338033
131	0.2377496436
132	0.2374985559
133	0.2373922026
134	0.2370929756
135	0.2369868584
136	0.2369358092
137	0.2367928864
138	0.2366323752
139	0.2364946699
140	0.2363156509
141	0.2361901125
142	0.2360547606
143	0.2359034783
144	0.2357457261
145	0.235665794
146	0.2353697767
147	0.2352782062
148	0.2351735232
149	0.2350501243
150	0.2349223097
151	0.2348122606
152	0.2346701441
153	0.2345283243
154	0.2344175224
155	0.2343166526
156	0.2342180688
157	0.2341561048
158	0.2339728644
159	0.2338754607
160	0.2337943784
161	0.2336264245
162	0.2335020223
163	0.2334151463
164	0.2332942789
165	0.2331898353
166	0.2330659177
167	0.2329884664
168	0.2328710805
169	0.2327712339
170	0.2327097903
171	0.2326292665
172	0.2324230636
173	0.2322957858
174	0.2322110302
175	0.2321377497
176	0.2319391746
177	0.2318596411
178	0.2317396318
179	0.2316928428
180	0.2315986158
181	0.2315038108
182	0.2312563826
183	0.2311634945
184	0.2310869356
185	0.2310060435
186	0.2309150701
187	0.2308352335
188	0.2307361788
189	0.2306628708
190	0.2305740142
191	0.2305060625
192	0.2304344767
193	0.2303887345
194	0.2303211127
195	0.2302577661
196	0.230204533
197	0.2301059189
198	0.2300257289
199	0.2299374563
200	0.2299318964
201	0.2297880021
202	0.2296873234
203	0.2296086355
204	0.2294647632
205	0.2293671963
206	0.2293006411
207	0.229176817
208	0.2290223581
209	0.2289565248
210	0.2288594768
211	0.228806138
212	0.2285852179
213	0.2284913651
214	0.2284034883
215	0.2282578021
216	0.2281625824
217	0.2281177932
218	0.2280656477
219	0.2280114331
220	0.227901526
221	0.2277991113
222	0.2277140218
223	0.2275856424
224	0.2275174248
225	0.2274407902
226	0.2273590547
227	0.2272517141
228	0.2271238949
229	0.2270553888
230	0.2269912479
231	0.2269580796
232	0.2268993362
233	0.2268250785
234	0.226775554
235	0.2266944188
236	0.2266285306
237	0.2265420553
238	0.2264600473
239	0.226288703
240	0.226241782
241	0.2261798161
242	0.2260965755
243	0.2260337326
244	0.2259746647
245	0.2259472626
246	0.2258577413
247	0.2258124719
248	0.2257384249
249	0.2256638548
250	0.2255940521
251	0.2255212509
252	0.2253785845
253	0.2253064957
254	0.2252298053
255	0.2251837447
256	0.2250908962
257	0.2250105605
258	0.2249543837
259	0.224825296
260	0.2247742213
261	0.2246856098
262	0.224637286
263	0.2246214035
264	0.2245048743
265	0.2244335912
266	0.2243670571
267	0.2243316987
268	0.224263445
269	0.2241707981
270	0.2241182489
271	0.2240622391
272	0.2240018998
273	0.2239162723
274	0.223866459
275	0.223806656
276	0.2237017172
277	0.2236476841
278	0.2235416814
279	0.2234879936
280	0.2234381595
281	0.2233663801
282	0.223311015
283	0.2232622313
284	0.2231839689
285	0.2231121503
286	0.223000006
287	0.222930164
288	0.2228697866
289	0.2228208958
290	0.2227557148
291	0.2226887923
292	0.2226135644
293	0.2225665536
294	0.2224873564
295	0.2224231528
296	0.2223188811
297	0.2222846586
298	0.2221908352
299	0.2221573186
300	0.2221021373
301	0.2220239926
302	0.2219403575
303	0.2219213441
304	0.2218275521
305	0.2217321696
306	0.221658329
307	0.2215840772
308	0.2215092711
309	0.2214581292
310	0.221365441
311	0.2212989338
312	0.2212394219
313	0.2212029064
314	0.2210795103
315	0.2210022949
316	0.2209458634
317	0.2208766318
318	0.220845919
319	0.2207717817
320	0.2207142406
321	0.2206770204
322	0.2206451963
323	0.2206136927
324	0.2205307016
325	0.2204949554
326	0.2204156607
327	0.2203470176
328	0.2202662273
329	0.2201731108
330	0.2201042314
331	0.2200514258
332	0.2200246364
333	0.2199402299
334	0.2199010789
335	0.219840389
336	0.2197644288
337	0.2196971824
338	0.2195631751
339	0.2194978757
340	0.2194449113
341	0.2193857384
342	0.2193239184
343	0.2192519673
344	0.2192065053
345	0.219146416
346	0.2191109727
347	0.2190758313
348	0.2190113128
349	0.2189386961
350	0.2188524165
351	0.2188164561
352	0.2187666166
353	0.2186867556
354	0.2186429373
355	0.2185815485
356	0.2185128373
357	0.2185001016
358	0.2184450669
359	0.2183703878
360	0.2183204307
361	0.2182803095
362	0.2182154802
363	0.2181646279
364	0.2181066004
365	0.2180564696
366	0.2179829103
367	0.2179290104
368	0.2178376182
369	0.2178196395
370	0.2177360916
371	0.2176796427
372	0.2176125039
373	0.2175262579
374	0.2174587547
375	0.2174042633
376	0.217333225
377	0.2172728583
378	0.2172330029
379	0.2171844911
380	0.2171030925
381	0.2170477702
382	0.2169877668
383	0.2169151425
384	0.2168558923
385	0.21682797
386	0.2167564021
387	0.2167152192
388	0.2166782525
389	0.216589946
390	0.2165214946
391	0.2164935151
392	0.2164114615
393	0.2163333345
394	0.2162698905
395	0.2162189975
396	0.2161560771
397	0.2161244244
398	0.2160586668
399	0.215992895
400	0.2159483565
401	0.2158966896
402	0.2158589129
403	0.2157803013
404	0.2157226435
405	0.2156495338
406	0.2156177834
407	0.215554387
408	0.2155164859
409	0.215457151
410	0.2154153095
411	0.215351682
412	0.2152801565
413	0.2151930685
414	0.2151347023
415	0.2150828027
416	0.2150530014
417	0.2149869389
418	0.2149463096
419	0.2148904997
420	0.2148179476
421	0.2147649474
422	0.2147272684
423	0.2146655617
424	0.2146089481
425	0.2145581247
426	0.2145233202
427	0.2144437439
428	0.2143874443
429	0.214340341
430	0.2142942653
431	0.2142325993
432	0.2141712889
433	0.2141340422
434	0.2140763994
435	0.2139948754
436	0.2139182433
437	0.2138546243
438	0.2138031535
439	0.2137660174
440	0.21371437
441	0.2136623955
442	0.2136242132
443	0.2135634051
